/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=120, Training Error=-307.418, Testing Error=235.162
Generation=121, Training Error=-307.414, Testing Error=235.222
Generation=122, Training Error=-307.410, Testing Error=235.281
Generation=123, Training Error=-307.404, Testing Error=235.340
Generation=124, Training Error=-307.399, Testing Error=235.400
Generation=125, Training Error=-307.392, Testing Error=235.459
Generation=126, Training Error=-307.385, Testing Error=235.518
Generation=127, Training Error=-307.377, Testing Error=235.578
Generation=128, Training Error=-307.369, Testing Error=235.637
Generation=129, Training Error=-307.360, Testing Error=235.696
Generation=130, Training Error=-307.350, Testing Error=235.755
Generation=131, Training Error=-307.340, Testing Error=235.814
Generation=132, Training Error=-307.329, Testing Error=235.873
Generation=133, Training Error=-307.318, Testing Error=235.932
Generation=134, Training Error=-307.306, Testing Error=235.991
Generation=135, Training Error=-307.293, Testing Error=236.050
Generation=136, Training Error=-307.279, Testing Error=236.108
Generation=137, Training Error=-307.265, Testing Error=236.167
Generation=138, Training Error=-307.251, Testing Error=236.226
Generation=139, Training Error=-307.235, Testing Error=236.284
Generation=140, Training Error=-307.220, Testing Error=236.343
Generation=141, Training Error=-307.203, Testing Error=236.401
Generation=142, Training Error=-307.186, Testing Error=236.460
Generation=143, Training Error=-307.168, Testing Error=236.518
Generation=144, Training Error=-307.149, Testing Error=236.577
Generation=145, Training Error=-307.130, Testing Error=236.635
Generation=146, Training Error=-307.111, Testing Error=236.693
Generation=147, Training Error=-307.090, Testing Error=236.752
Generation=148, Training Error=-307.069, Testing Error=236.810
Generation=149, Training Error=-307.047, Testing Error=236.868
Generation=150, Training Error=-307.025, Testing Error=236.926
Generation=151, Training Error=-307.002, Testing Error=236.984
Generation=152, Training Error=-306.978, Testing Error=237.042
Generation=153, Training Error=-306.954, Testing Error=237.100
Generation=154, Training Error=-306.929, Testing Error=237.158
Generation=155, Training Error=-306.904, Testing Error=237.216
Generation=156, Training Error=-306.877, Testing Error=237.274
Generation=157, Training Error=-306.850, Testing Error=237.332
Generation=158, Training Error=-306.823, Testing Error=237.390
Generation=159, Training Error=-306.795, Testing Error=237.447
Generation=160, Training Error=-306.766, Testing Error=237.505
Generation=161, Training Error=-306.736, Testing Error=237.563
Generation=162, Training Error=-306.706, Testing Error=237.620
Generation=163, Training Error=-306.675, Testing Error=237.678
Generation=164, Training Error=-306.644, Testing Error=237.735
Generation=165, Training Error=-306.612, Testing Error=237.793
Generation=166, Training Error=-306.579, Testing Error=237.850
Generation=167, Training Error=-306.546, Testing Error=237.908
Generation=168, Training Error=-306.511, Testing Error=237.965
Generation=169, Training Error=-306.477, Testing Error=238.022
Generation=170, Training Error=-306.441, Testing Error=238.080
Generation=171, Training Error=-306.405, Testing Error=238.137
Generation=172, Training Error=-306.368, Testing Error=238.194
Generation=173, Training Error=-306.331, Testing Error=238.251
Generation=174, Training Error=-306.293, Testing Error=238.308
Generation=175, Training Error=-306.254, Testing Error=238.365
Generation=176, Training Error=-306.214, Testing Error=238.422
Generation=177, Training Error=-306.174, Testing Error=238.479
Generation=178, Training Error=-306.134, Testing Error=238.536
Generation=179, Training Error=-306.092, Testing Error=238.593
Generation=180, Training Error=-306.050, Testing Error=238.650
Generation=181, Training Error=-306.007, Testing Error=238.707
Generation=182, Training Error=-305.964, Testing Error=238.763
Generation=183, Training Error=-305.919, Testing Error=238.820
Generation=184, Training Error=-305.875, Testing Error=238.877
Generation=185, Training Error=-305.829, Testing Error=238.933
Generation=186, Training Error=-305.783, Testing Error=238.990
Generation=187, Training Error=-305.736, Testing Error=239.046
Generation=188, Training Error=-305.688, Testing Error=239.103
Generation=189, Training Error=-305.640, Testing Error=239.159
Generation=190, Training Error=-305.591, Testing Error=239.216
Generation=191, Training Error=-305.541, Testing Error=239.272
Generation=192, Training Error=-305.491, Testing Error=239.328
Generation=193, Training Error=-305.440, Testing Error=239.385
Generation=194, Training Error=-305.388, Testing Error=239.441
Generation=195, Training Error=-305.336, Testing Error=239.497
Generation=196, Training Error=-305.283, Testing Error=239.553
Generation=197, Training Error=-305.229, Testing Error=239.610
Generation=198, Training Error=-305.175, Testing Error=239.666
Generation=199, Training Error=-305.119, Testing Error=239.722
Generation=200, Training Error=-305.064, Testing Error=239.778
Generation=201, Training Error=-305.007, Testing Error=239.834
Generation=202, Training Error=-304.950, Testing Error=239.890
Generation=203, Training Error=-304.892, Testing Error=239.946
Generation=204, Training Error=-304.833, Testing Error=240.001
Generation=205, Training Error=-304.774, Testing Error=240.057
Generation=206, Training Error=-304.714, Testing Error=240.113
Generation=207, Training Error=-304.653, Testing Error=240.169
Generation=208, Training Error=-304.592, Testing Error=240.225
Generation=209, Training Error=-304.529, Testing Error=240.280
Generation=210, Training Error=-304.466, Testing Error=240.336
Generation=211, Training Error=-304.403, Testing Error=240.391
Generation=212, Training Error=-304.339, Testing Error=240.447
Generation=213, Training Error=-304.274, Testing Error=240.502
Generation=214, Training Error=-304.208, Testing Error=240.558
Generation=215, Training Error=-304.141, Testing Error=240.613
Generation=216, Training Error=-304.074, Testing Error=240.669
Generation=217, Training Error=-304.007, Testing Error=240.724
Generation=218, Training Error=-303.938, Testing Error=240.779
Generation=219, Training Error=-303.869, Testing Error=240.835
Generation=220, Training Error=-303.799, Testing Error=240.890
Generation=221, Training Error=-303.728, Testing Error=240.945
Generation=222, Training Error=-303.657, Testing Error=241.000
Generation=223, Training Error=-303.584, Testing Error=241.055
Generation=224, Training Error=-303.512, Testing Error=241.111
Generation=225, Training Error=-303.438, Testing Error=241.166
Generation=226, Training Error=-303.364, Testing Error=241.221
Generation=227, Training Error=-303.289, Testing Error=241.276
Generation=228, Training Error=-303.213, Testing Error=241.331
Generation=229, Training Error=-303.136, Testing Error=241.385
Generation=230, Training Error=-303.059, Testing Error=241.440
Generation=231, Training Error=-302.981, Testing Error=241.495
Generation=232, Training Error=-302.903, Testing Error=241.550
Generation=233, Training Error=-302.823, Testing Error=241.605
Generation=234, Training Error=-302.743, Testing Error=241.659
Generation=235, Training Error=-302.662, Testing Error=241.714
Generation=236, Training Error=-302.581, Testing Error=241.769
Generation=237, Training Error=-302.498, Testing Error=241.823
Generation=238, Training Error=-302.415, Testing Error=241.878
Generation=239, Training Error=-302.331, Testing Error=241.932
Generation=240, Training Error=-302.247, Testing Error=241.987
Generation=241, Training Error=-302.161, Testing Error=242.041
Generation=242, Training Error=-302.075, Testing Error=242.096
Generation=243, Training Error=-301.989, Testing Error=242.150
Generation=244, Training Error=-301.901, Testing Error=242.204
Generation=245, Training Error=-301.813, Testing Error=242.259
Generation=246, Training Error=-301.724, Testing Error=242.313
Generation=247, Training Error=-301.634, Testing Error=242.367
Generation=248, Training Error=-301.544, Testing Error=242.421
Generation=249, Training Error=-301.453, Testing Error=242.476
Generation=250, Training Error=-301.361, Testing Error=242.530
Generation=251, Training Error=-301.268, Testing Error=242.584
Generation=252, Training Error=-301.174, Testing Error=242.638
Generation=253, Training Error=-301.080, Testing Error=242.692
Generation=254, Training Error=-300.985, Testing Error=242.746
Generation=255, Training Error=-300.890, Testing Error=242.800
Generation=256, Training Error=-300.793, Testing Error=242.854
Generation=257, Training Error=-300.696, Testing Error=242.907
Generation=258, Training Error=-300.598, Testing Error=242.961
Generation=259, Training Error=-300.499, Testing Error=243.015
Generation=260, Training Error=-300.400, Testing Error=243.069
Generation=261, Training Error=-300.299, Testing Error=243.122
Generation=262, Training Error=-300.198, Testing Error=243.176
Generation=263, Training Error=-300.097, Testing Error=243.230
Generation=264, Training Error=-299.994, Testing Error=243.283
Generation=265, Training Error=-299.891, Testing Error=243.337
Generation=266, Training Error=-299.787, Testing Error=243.390
Generation=267, Training Error=-299.682, Testing Error=243.444
Generation=268, Training Error=-299.576, Testing Error=243.497
Generation=269, Training Error=-299.470, Testing Error=243.551
Generation=270, Training Error=-299.363, Testing Error=243.604
Generation=271, Training Error=-299.255, Testing Error=243.657
Generation=272, Training Error=-299.146, Testing Error=243.711
Generation=273, Training Error=-299.037, Testing Error=243.764
Generation=274, Training Error=-298.927, Testing Error=243.817
Generation=275, Training Error=-298.816, Testing Error=243.870
Generation=276, Training Error=-298.704, Testing Error=243.923
Generation=277, Training Error=-298.592, Testing Error=243.977
Generation=278, Training Error=-298.478, Testing Error=244.030
Generation=279, Training Error=-298.364, Testing Error=244.083
Generation=280, Training Error=-298.249, Testing Error=244.136
Generation=281, Training Error=-298.134, Testing Error=244.189
Generation=282, Training Error=-298.017, Testing Error=244.241
Generation=283, Training Error=-297.900, Testing Error=244.294
Generation=284, Training Error=-297.782, Testing Error=244.347
Generation=285, Training Error=-297.664, Testing Error=244.400
Generation=286, Training Error=-297.544, Testing Error=244.453
Generation=287, Training Error=-297.424, Testing Error=244.505
Generation=288, Training Error=-297.303, Testing Error=244.558
Generation=289, Training Error=-297.181, Testing Error=244.611
Generation=290, Training Error=-297.059, Testing Error=244.663
Generation=291, Training Error=-296.935, Testing Error=244.716
Generation=292, Training Error=-296.811, Testing Error=244.768
Generation=293, Training Error=-296.686, Testing Error=244.821
Generation=294, Training Error=-296.560, Testing Error=244.873
Generation=295, Training Error=-296.434, Testing Error=244.926
Generation=296, Training Error=-296.306, Testing Error=244.978
Generation=297, Training Error=-296.178, Testing Error=245.030
Generation=298, Training Error=-296.050, Testing Error=245.083
Generation=299, Training Error=-295.920, Testing Error=245.135
Generation=300, Training Error=-295.789, Testing Error=245.187
Generation=301, Training Error=-295.658, Testing Error=245.239
Generation=302, Training Error=-295.526, Testing Error=245.292
Generation=303, Training Error=-295.393, Testing Error=245.344
Generation=304, Training Error=-295.260, Testing Error=245.396
Generation=305, Training Error=-295.125, Testing Error=245.448
Generation=306, Training Error=-294.990, Testing Error=245.500
Generation=307, Training Error=-294.854, Testing Error=245.552
Generation=308, Training Error=-294.717, Testing Error=245.604
Generation=309, Training Error=-294.580, Testing Error=245.655
Generation=310, Training Error=-294.441, Testing Error=245.707
Generation=311, Training Error=-294.302, Testing Error=245.759
Generation=312, Training Error=-294.162, Testing Error=245.811
Generation=313, Training Error=-294.021, Testing Error=245.862
Generation=314, Training Error=-293.880, Testing Error=245.914
Generation=315, Training Error=-293.738, Testing Error=245.966
Generation=316, Training Error=-293.594, Testing Error=246.017
Generation=317, Training Error=-293.451, Testing Error=246.069
Generation=318, Training Error=-293.306, Testing Error=246.120
Generation=319, Training Error=-293.160, Testing Error=246.172
Generation=320, Training Error=-293.014, Testing Error=246.223
Generation=321, Training Error=-292.867, Testing Error=246.274
