/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=120, Training Error=-183.854, Testing Error=23.915
Generation=121, Training Error=-181.656, Testing Error=23.621
Generation=122, Training Error=-179.485, Testing Error=23.330
Generation=123, Training Error=-177.338, Testing Error=23.043
Generation=124, Training Error=-175.218, Testing Error=22.759
Generation=125, Training Error=-173.122, Testing Error=22.479
Generation=126, Training Error=-171.052, Testing Error=22.202
Generation=127, Training Error=-169.006, Testing Error=21.928
Generation=128, Training Error=-166.984, Testing Error=21.657
Generation=129, Training Error=-164.986, Testing Error=21.390
Generation=130, Training Error=-163.012, Testing Error=21.126
Generation=131, Training Error=-161.062, Testing Error=20.865
Generation=132, Training Error=-159.134, Testing Error=20.607
Generation=133, Training Error=-157.230, Testing Error=20.352
Generation=134, Training Error=-155.348, Testing Error=20.100
Generation=135, Training Error=-153.488, Testing Error=19.851
Generation=136, Training Error=-151.651, Testing Error=19.605
Generation=137, Training Error=-149.835, Testing Error=19.362
Generation=138, Training Error=-148.041, Testing Error=19.122
Generation=139, Training Error=-146.268, Testing Error=18.885
Generation=140, Training Error=-144.516, Testing Error=18.651
Generation=141, Training Error=-142.785, Testing Error=18.419
Generation=142, Training Error=-141.074, Testing Error=18.190
Generation=143, Training Error=-139.384, Testing Error=17.964
Generation=144, Training Error=-137.714, Testing Error=17.740
Generation=145, Training Error=-136.064, Testing Error=17.520
Generation=146, Training Error=-134.433, Testing Error=17.301
Generation=147, Training Error=-132.822, Testing Error=17.086
Generation=148, Training Error=-131.229, Testing Error=16.873
Generation=149, Training Error=-129.656, Testing Error=16.662
Generation=150, Training Error=-128.101, Testing Error=16.454
Generation=151, Training Error=-126.565, Testing Error=16.249
Generation=152, Training Error=-125.047, Testing Error=16.045
Generation=153, Training Error=-123.547, Testing Error=15.845
Generation=154, Training Error=-122.065, Testing Error=15.646
Generation=155, Training Error=-120.600, Testing Error=15.450
Generation=156, Training Error=-119.153, Testing Error=15.257
Generation=157, Training Error=-117.723, Testing Error=15.065
Generation=158, Training Error=-116.310, Testing Error=14.876
Generation=159, Training Error=-114.914, Testing Error=14.689
Generation=160, Training Error=-113.534, Testing Error=14.505
Generation=161, Training Error=-112.171, Testing Error=14.322
Generation=162, Training Error=-110.824, Testing Error=14.142
Generation=163, Training Error=-109.493, Testing Error=13.964
Generation=164, Training Error=-108.178, Testing Error=13.788
Generation=165, Training Error=-106.878, Testing Error=13.614
Generation=166, Training Error=-105.594, Testing Error=13.442
Generation=167, Training Error=-104.325, Testing Error=13.272
Generation=168, Training Error=-103.071, Testing Error=13.105
Generation=169, Training Error=-101.832, Testing Error=12.939
Generation=170, Training Error=-100.608, Testing Error=12.775
Generation=171, Training Error=-99.398, Testing Error=12.613
Generation=172, Training Error=-98.203, Testing Error=12.453
Generation=173, Training Error=-97.021, Testing Error=12.295
Generation=174, Training Error=-95.854, Testing Error=12.139
Generation=175, Training Error=-94.701, Testing Error=11.985
Generation=176, Training Error=-93.561, Testing Error=11.832
Generation=177, Training Error=-92.435, Testing Error=11.681
Generation=178, Training Error=-91.323, Testing Error=11.533
