/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=117, Training Error=6014.266, Testing Error=1500.710
Generation=118, Training Error=5838.621, Testing Error=1525.113
Generation=119, Training Error=5668.141, Testing Error=1548.790
Generation=120, Training Error=6700.306, Testing Error=747.976
Generation=121, Training Error=11123.293, Testing Error=792.024
Generation=122, Training Error=10815.268, Testing Error=834.853
Generation=123, Training Error=10515.773, Testing Error=876.495
Generation=124, Training Error=10224.572, Testing Error=916.984
Generation=125, Training Error=9941.434, Testing Error=956.352
Generation=126, Training Error=9666.137, Testing Error=994.630
Generation=127, Training Error=9398.463, Testing Error=1031.848
Generation=128, Training Error=9138.202, Testing Error=1068.036
Generation=129, Training Error=8885.148, Testing Error=1103.221
Generation=130, Training Error=8639.102, Testing Error=1137.432
Generation=131, Training Error=8399.869, Testing Error=1170.695
Generation=132, Training Error=8167.261, Testing Error=1203.037
Generation=133, Training Error=7941.094, Testing Error=1234.484
Generation=134, Training Error=7721.190, Testing Error=1265.060
Generation=135, Training Error=7507.376, Testing Error=1294.789
Generation=136, Training Error=7299.483, Testing Error=1323.695
Generation=137, Training Error=7097.346, Testing Error=1351.801
Generation=138, Training Error=6900.807, Testing Error=1379.128
Generation=139, Training Error=6709.711, Testing Error=1405.698
Generation=140, Training Error=6523.907, Testing Error=1431.533
Generation=141, Training Error=6343.247, Testing Error=1456.652
Generation=142, Training Error=6167.591, Testing Error=1481.076
Generation=143, Training Error=5996.799, Testing Error=1504.823
Generation=144, Training Error=5830.736, Testing Error=1527.913
Generation=145, Training Error=5669.272, Testing Error=1550.363
Generation=146, Training Error=5512.279, Testing Error=1572.192
Generation=147, Training Error=5359.634, Testing Error=1593.416
Generation=148, Training Error=5211.216, Testing Error=1614.053
Generation=149, Training Error=5066.907, Testing Error=1634.117
Generation=150, Training Error=4926.595, Testing Error=1653.627
Generation=151, Training Error=4790.168, Testing Error=1672.596
Generation=152, Training Error=4657.520, Testing Error=1691.040
Generation=153, Training Error=4528.544, Testing Error=1708.973
Generation=154, Training Error=4403.140, Testing Error=1726.409
Generation=155, Training Error=4281.209, Testing Error=1743.363
Generation=156, Training Error=4162.654, Testing Error=1759.847
Generation=157, Training Error=4047.383, Testing Error=1775.874
Generation=158, Training Error=3935.303, Testing Error=1791.458
Generation=159, Training Error=3826.327, Testing Error=1806.610
Generation=160, Training Error=3720.369, Testing Error=1821.343
Generation=161, Training Error=3617.345, Testing Error=1835.668
Generation=162, Training Error=3517.174, Testing Error=1849.596
Generation=163, Training Error=3419.777, Testing Error=1863.138
Generation=164, Training Error=3325.077, Testing Error=1876.305
Generation=165, Training Error=3232.999, Testing Error=1889.108
Generation=166, Training Error=3143.471, Testing Error=1901.556
Generation=167, Training Error=3056.423, Testing Error=1913.660
Generation=168, Training Error=2971.784, Testing Error=1925.428
Generation=169, Training Error=2889.490, Testing Error=1936.870
Generation=170, Training Error=2809.475, Testing Error=1947.996
Generation=171, Training Error=2731.675, Testing Error=1958.813
Generation=172, Training Error=2656.030, Testing Error=1969.331
Generation=173, Training Error=2582.479, Testing Error=1979.558
Generation=174, Training Error=2510.966, Testing Error=1989.501
Generation=175, Training Error=2441.432, Testing Error=1999.169
Generation=176, Training Error=2373.824, Testing Error=2008.570
Generation=177, Training Error=2308.089, Testing Error=2017.710
Generation=178, Training Error=2244.174, Testing Error=2026.597
Generation=179, Training Error=2182.028, Testing Error=2035.237
Generation=180, Training Error=2121.604, Testing Error=2043.639
Generation=181, Training Error=2062.852, Testing Error=2051.808
Generation=182, Training Error=2005.728, Testing Error=2059.751
Generation=183, Training Error=1950.186, Testing Error=2067.473
Generation=184, Training Error=1896.182, Testing Error=2074.982
Generation=185, Training Error=1843.673, Testing Error=2082.283
Generation=186, Training Error=1792.618, Testing Error=2089.382
Generation=187, Training Error=1742.977, Testing Error=2096.284
Generation=188, Training Error=1694.711, Testing Error=2102.995
Generation=189, Training Error=1647.781, Testing Error=2109.520
Generation=190, Training Error=1602.151, Testing Error=2115.865
Generation=191, Training Error=1557.784, Testing Error=2122.034
Generation=192, Training Error=1514.646, Testing Error=2128.032
Generation=193, Training Error=1472.703, Testing Error=2133.864
Generation=194, Training Error=1431.921, Testing Error=2139.534
Generation=195, Training Error=1392.268, Testing Error=2145.047
Generation=196, Training Error=1353.714, Testing Error=2150.408
Generation=197, Training Error=1316.227, Testing Error=2155.620
Generation=198, Training Error=1279.778, Testing Error=2160.688
Generation=199, Training Error=1244.339, Testing Error=2165.616
Generation=200, Training Error=1209.881, Testing Error=2170.407
Generation=201, Training Error=1176.377, Testing Error=2175.065
Generation=202, Training Error=1143.801, Testing Error=2179.595
Generation=203, Training Error=1112.127, Testing Error=2183.999
Generation=204, Training Error=1081.330, Testing Error=2188.281
Generation=205, Training Error=1051.386, Testing Error=2192.444
Generation=206, Training Error=1022.271, Testing Error=2196.493
Generation=207, Training Error=993.962, Testing Error=2200.429
Generation=208, Training Error=966.438, Testing Error=2204.256
Generation=209, Training Error=939.675, Testing Error=2207.977
Generation=210, Training Error=913.654, Testing Error=2211.595
Generation=211, Training Error=888.353, Testing Error=2215.113
Generation=212, Training Error=863.753, Testing Error=2218.533
Generation=213, Training Error=839.834, Testing Error=2221.859
Generation=214, Training Error=816.577, Testing Error=2225.093
Generation=215, Training Error=793.965, Testing Error=2228.237
Generation=216, Training Error=771.978, Testing Error=2231.294
Generation=217, Training Error=750.601, Testing Error=2234.266
Generation=218, Training Error=729.815, Testing Error=2237.156
Generation=219, Training Error=709.605, Testing Error=2239.966
Generation=220, Training Error=689.955, Testing Error=2242.699
Generation=221, Training Error=670.849, Testing Error=2245.355
Generation=222, Training Error=652.272, Testing Error=2247.938
Generation=223, Training Error=634.209, Testing Error=2250.450
Generation=224, Training Error=616.647, Testing Error=2252.892
Generation=225, Training Error=599.571, Testing Error=2255.266
